Organization Name,Sector,type of organization,PII,Sensitivity Score (S),Exposure Score (E),Exploitability Score (X),Impact Score (I),Aggregation Multiplier (A),Raw Risk Score,Normalized Score (0-100),Risk Category,Primary Risk Mechanism 1,Primary Risk Mechanism 2,Primary Risk Mechanism 3
NDI,Social media,Government,CID,4,4,4,5,1,320,25.6,Moderate,"Identity Reconstruction , Impersonation",NULL,NULL
Personal Account,Social Media,Personal account,"CID, Phone number, Date of Birth",4,4,5,5,1.5,600,48,High,Social Engineering,"Identity Reconstruction , Impersonation",Fraud Execution & Financial Exploitation
Thimphu Tech park,Social Media,Government,"Email, name & address",3,4,4,3,1.5,216,17.28,Low,Social Engineering,Fraud Execution & Financial Exploitation,"Sensitive Exposure , Personal Harm"
The Bhutanese(facebook),Social Media,Private Sector,"CID, Name",4,4,4,5,1.2,384,30.72,Moderate,"Identity Reconstruction , Impersonation",,
MoESD,Social Media,Government,CID,4,5,4,5,1,400,32,Moderate,"Identity Reconstruction , Impersonation",,
Sherubtse College,Websites,Academic institution,"CID, email",4,4,5,4,1.2,384,30.72,Moderate,Social Engineering,"Identity Reconstruction , Impersonation",
CST,Websites,Academic institution,"name, email, and resume",4,4,4,3,1.5,288,23.04,Moderate,Social Engineering,"Identity Reconstruction , Impersonation",Fraud Execution & Financial Exploitation
NRC,Websites,Academic institution,"Name, email, current employment record",3,4,4,4,1.5,288,23.04,Moderate,,,
PCE,Websites,Academic institution,"Name, Gender, Marital status, Employee ID, CID, Place of birth, Nationality, Religion, Date of Birth, Father’s name, Mother’s name, Profession, Employment details, Email, Phone number, Address",5,5,5,4,2,1000,80,Critical,,,
GCIT,Websites,Academic institution,CID,4,5,4,5,1,400,32,Moderate,,,
Kuensel,Social Media,Private Sector,"CID, Name",4,4,4,5,1.2,384,30.72,Moderate,,,
Personal Account,Social media,Personal account,"Name, email, DOB, employment location",4,4,4,4,2,512,40.96,High,,,
Personal Account,Social media,Personal account,Name & marks,3,4,2,3,1.2,86.4,6.912,Low,,,
Personal Account,social media,Personal account,name ,1,4,2,1,1,8,0.64,Low,,,
MOF,social Media,Government,"email,phone number",3,4,5,4,1.2,288,23.04,Moderate,,,
ACC,social Media,Government,"CID, name",4,4,4,5,1.2,384,30.72,Moderate,,,
Personal Account(DT),social Media,Personal account,"Phone, number and account number",5,4,5,5,1.2,600,48,High,,,
Personal Account ,social Media,Personal account,lisence plate,2,4,3,3,1,72,5.76,Low,,,
Kuensel,social Media,Private Sector,"name, image",2,4,3,2,1,48,3.84,Low,,,
Personal ,social Media,Personal account,"name, CID",4,4,4,5,1.2,384,30.72,Moderate,,,
"Dzongkhag ADM, Wangdue",social Media,Government,CID,4,5,4,5,1,400,32,Moderate,,,
NDI,Social Media,Government,"CID, name",4,4,4,5,1.2,384,30.72,Moderate,,,
Personal ,social Media,Personal account,"CID, name, DOB",4,4,5,5,1.5,600,48,High,,,
Personal ,social Media,Personal account," CID, name, household number, thram number, date of birth, village, and marital status ",5,4,5,5,2,1000,80,Critical,,,
BNB,social Media,Financial institution,"CID, phone number",4,4,4,4,1.2,307.2,24.576,Moderate,,,
PErsonal,social Media,Personal account,name,1,4,2,1,1,8,0.64,Low,,,
Personal(ter),social Media,Personal account,"email, name",2,4,4,3,1.2,115.2,9.216,Low,,,
TTI khurthang,social Media,Government,"name, CID",4,4,4,5,1.2,384,30.72,Moderate,,,
Personal account,social media,Personal account,"Name, account number",5,4,4,5,1.2,480,38.4,Moderate,,,
Personal Account,social Media,Personal account,Phone number,3,4,5,4,1,240,19.2,Low,,,
Kuensel ,Social Media,Private Sector,"Name, age",2,4,2,2,1.2,38.4,3.072,Low,,,
BII,social Media,Private Sector,name,1,4,2,1,1,8,0.64,Low,,,
Lottery Group,Social Media,Private Sector,contact numbers,3,5,5,4,1,300,24,Moderate,,,
karma Academy,Social Media,Academic institution,"Name, Phone number",3,4,5,4,1.2,288,23.04,Moderate,,,
RBP,online webites,Government,CID,4,5,4,5,1,400,32,Moderate,,,
NPPF,social media,Government,"CID, Name",4,5,4,5,1.2,480,38.4,Moderate,,,
Kidney Foundation,social Media,Private Sector,"Name, contact number, blood group",4,4,5,4,1.5,480,38.4,Moderate,,,
Kuensel,social Media,Private Sector,"name, image, location",3,4,3,3,1.5,162,12.96,Low,,,
BBS,social media,Government,"name, crime, image",5,4,3,5,1.5,450,36,Moderate,,,
bhutanstudies,websites,Private Sector,"name, email",2,4,3,3,1.2,86.4,6.912,Low,,,
BCSEA,websites,Government,"name, image, role",3,4,4,3,1.5,216,17.28,Low,,,
JDWNRH,webites,Government,phone numbers,3,5,5,4,1,300,24,Moderate,,,
FNPH,webites,Government,"name, email, image",3,4,4,3,1.5,216,17.28,Low,,,
Clinic ,webites,Government,phone numbers,3,5,5,4,1,300,24,Moderate,,,
Kuensel,social Media,Private Sector,"name,  location, and fraud case",5,4,3,5,1.5,450,36,Moderate,,,
RTC,social media,Academic institution,"name, role, image",3,4,3,3,1.5,162,12.96,Low,,,
Bhutanese News and Update(Facebook),social Media,facebook page,"name, CID, thramnumber, village, image, crime, office order from court",5,5,5,5,2,1250,100,Severe,,,
Rent a House in Bhutan(Facebook),social Media,facebook page,"Name, CID , Father’s Name , Village , Phone Number , Image , Legal/Fraud allegation (public social media):",5,4,5,5,2,1000,80,Critical,,,
Bhutanese News and forum(Facebook),social media,facebook page,"Name, Bank Account Number, Fraud allegation",5,4,4,5,1.5,600,48,High,,,
Rent a House in Phuntsholing(Facebook),social Media,facebook page,"Name, image, Legal/Crime allegation",5,4,3,5,1.5,450,36,Moderate,,,
Bhutanese news and Update(Facebook),social Media,facebook page,"Name, Image,Phone Numbers, Location",4,4,5,4,2,640,51.2,High,,,
CNR,websites,Academic institution,"Name, Image, Phone Number, Email,Job Title",4,4,5,4,2,640,51.2,High,,,
Comprehensive sexuality education in Bhutan(Facebook),social media,facebook page,"Name, Image, Workplace/Role,Certificate",3,4,4,3,2,288,23.04,Moderate,,,
BBS,social media,Government,"Name, Legal/Crime conviction information",5,4,3,5,1.2,360,28.8,Moderate,,,
CLCS,websites,Academic institution,"Name, Image, Job Title/Role",3,4,4,3,1.5,216,17.28,Low,,,
Kuensel,social media,Private Sector,"Name, Age, Occupation, Health/Death information",5,4,3,5,2,600,48,High,,,
BNB,social media,Financial institution,"Name, Phone Number",2,4,5,4,1.2,192,15.36,Low,,,
Connecting nations(facebook),social media,facebook page,"Name, Age, Occupation (Lama), Death incident",5,4,3,5,1.5,450,36,Moderate,,,
JNEC,websites,Academic institution,"Name, Image, Phone Number, Email, Job Title, Qualification",4,4,5,4,2,640,51.2,High,,,
SA News Bhutan(facebook),social media,facebook page,"Name, Image, Legal/Crime conviction information",5,4,3,5,1.5,450,36,Moderate,,,
BOB,websites,Financial institution,CID,4,5,4,5,1,400,32,Moderate,,,
SCE,websites,Academic institution,"Name, Email Address, Job Title/Role",3,4,4,4,1.5,288,23.04,Moderate,,,
SA News Bhutan(facebook),social media,facebook page,"Name, Age, Legal/Crime conviction information",5,4,3,5,1.5,450,36,Moderate,,,
GCBS,websites,Academic institution,"Name, Image, Job Title/Department, Email, Phone",4,4,5,4,2,640,51.2,High,,,
BDB,websites,Financial institution,"CID Number, Contact Number",4,4,5,5,1.2,480,38.4,Moderate,,,
Personal,social media,Personal account,"Name, Image, Visa/Immigration status information",5,4,3,5,1.5,450,36,Moderate,,,
DHI,websites,Government,"Name, Image, Job Title/Board Position",4,4,4,5,1.5,480,38.4,Moderate,,,
Smart consultancy,social media,Private Sector,"Name/Username, Image",2,4,3,2,1.2,57.6,4.608,Low,,,
Smart consultancy,social media,Private Sector,"Name, photo, phone number, role",4,4,4,4,2,512,40.96,High,,,
Druk Green Power Corporation,social media,Government,"Name, Photo, Job title, Office phone number, Official email address",4,4,5,4,2,640,51.2,High,,,
Bhutan Telecom,websites,Government,CID,4,5,4,5,1,400,32,Moderate,,,
Smart Education consultancy & placement firm,social media,Private Sector,"Name, Photo, Testimonial, Contact Information in visa success post",4,4,5,4,2,640,51.2,High,,,
BIL,websites,Government,CID,4,5,4,5,1,400,32,Moderate,,,
Selise ,social media,Private Sector,"Name, Photo, Educational affiliation (College of Science and Technology), Internship status, Organization association (Selise Bhutan)",3,4,4,3,2,288,23.04,Moderate,,,
Department of Air Transport,websites,Government,"Name, Photo, Job title, Email address, Phone number",4,4,5,4,2,640,51.2,High,,,
Personal,social media,personal account,"Name, Photo, Job title (Chief Medical Officer/Doctor), Workplace (Wangdicholing General Hospital), Location (Bumthang)",4,4,5,4,2,640,51.2,High,,,
The Best season 2,social media,facebook page,"Name, Photo, Achievement information, Certificate recognition",3,4,4,3,2,288,23.04,Moderate,,,
Personal,social media,personal account,"Name, Video",2,4,2,2,1.2,38.4,3.072,Low,,,
Jakar Hss,social Media,Academic institution,"Name, Photo, Job role, Workplace/School affiliation, Achievement information, Event context (award/farewell)",3,4,4,3,2,288,23.04,Moderate,,,
Thimphu Tech park,social media,Government,"Name, Photo, Job title/role, Organizational affiliation",3,4,4,3,2,288,23.04,Moderate,,,
Personal,social media,personal account,"Name, Photo, Religious title/identity, Location affiliation (Tsholinggar Gewog)",4,4,3,4,2,384,30.72,Moderate,,,
CRA,social media,Government,"Name, Photo, Job title, Email address, Government organization affiliation, Employment status",4,4,5,5,2,800,64,Critical,,,
RAA,social media,Government,"Name, Photo, Job title, Government organization affiliation, Promotion/achievement information",4,4,5,4,2,640,51.2,High,,,
RSPN,social media,NGO,"Name, employee detail and image",3,4,4,3,1.5,216,17.28,Low,,,
NO mind bhutan,websites,Private Sector,"Name, image and role",2,4,2,2,1.5,48,3.84,Low,,,
NLCS,websites,Government,phone numbers,3,5,5,4,1,300,24,Moderate,,,
WWF,websites,NGO,"Name, Image, Professional background/biography, Job role, Organizational affiliation",4,3,4,3,2,288,23.04,Moderate,,,
MOICE,websites,Government,"Name, Company/Organization name, Business address, Contact phone number, Email address, Export product information, Business affiliation.",4,5,5,4,2,800,64,Critical,,,
MOH,websites,Government,"Name , CID",4,4,4,5,1.2,384,30.72,Moderate,,,
BCCI,Websites,Government,CID,4,5,4,5,1,400,32,Moderate,,,
Dungsam Cement CorporationRevenue and Custom,websites,Private Sector,"CID, phone number",4,5,5,5,1.2,600,48,High,,,
Revenue and Custom,Websites,Government,"Name, Contact number, Company/organization affiliation (exposed through a publicly downloadable PDF).",3,5,5,4,1.5,450,36,Moderate,,,
GovTech,webistes,Government,"Name, Job title, Organization/department, Office address, City, Postal code, Country, Telephone number, Recruitment/selection result information.",4,4,5,4,2,640,51.2,High,,,
Medical and Health Professionals Council,websites,Government,Name and image,2,4,3,2,1.2,57.6,4.608,Low,,,
NDI,,Government,"Name, Image and Role",3,4,4,3,1.5,216,17.28,Low,,,
RCSE,websites,Government,"name position, email",3,4,4,4,1.5,288,23.04,Moderate,,,
Bhutan Health Trust Fund,websites,Private Sector,"Name, Image, Official email address of a minister.",4,4,5,5,1.5,600,48,High,,,
Royal Securities Exchange of Bhutan,websietes,Government,"Name, CID number, Contact information, Bond amount.",5,4,5,5,2,1000,80,Critical,,,
Faculty of Nursing and public health,websites,Academic institution,"Name, email, image",3,4,4,3,1.5,216,17.28,Low,,,
Judiciary Of Bhutan,websites,Government,"Name, email, DoB, Address, Marriage status",5,5,5,5,2,1250,100,Severe,,,
GIC- Bhutan Insurance Company,websites,Government,CID,4,5,4,5,1,400,32,Moderate,,,
Druk Air,Websites,Government,CID and designation,4,4,4,4,1.2,307.2,24.576,Moderate,,,
Personal account,Webites,personal account,name and email,2,4,3,3,1.2,86.4,6.912,Low,,,
BPC,websites,Government,phone number and email,2,3,3,4,1.2,86.4,6.912,Low,,,
DGPC,websites,Government,CID,4,5,4,5,1,400,32,Moderate,,,
WangduePhondrang dzongkhag,social media,Government,"CID, Name",4,4,3,5,1.2,288,23.04,Moderate,,,
Samtse Daongkhag,social media,Government,"Name, image, contact, email",2,4,5,4,2,320,25.6,Moderate,,,
Paro Dzongkhag,social media,Government,"Name, CID, contact numner",4,4,5,5,2,800,64,Critical,,,
Samdrup Jongkhar Dzongkhag,social media,Government,"Name, CID",4,4,5,5,1.2,480,38.4,Moderate,,,
Dagana Dzongkhag,social media,Government,"Name, email",2,4,3,3,1.2,86.4,6.912,Low,,,
TrashiYangtse,websites,Government,Name and image,2,3,2,2,1.2,28.8,2.304,Low,,,
tsirang Dzongkhag,websites,Government,"Name, image, email",3,4,4,3,1.5,216,17.28,Low,,,
Tashigang Dzongkhag,websites,Government,"Name, email, image",3,4,4,3,1.5,216,17.28,Low,,,
Haa,websites,Government,"Name, email, image",3,4,3,3,1.5,162,12.96,Low,,,
Bumthang Dzongkhag,websites,Government,name and image,2,3,2,2,1.2,28.8,2.304,Low,,,
Mongar Dzongkhag,websites,Government,"name, image",2,3,2,2,1.2,28.8,2.304,Low,,,
Judiciary Of Bhutan,websites,Government,"Name of defendant, Case details, Legal judgment information, Institutional affiliation (High Court of Bhutan).",5,3,3,5,1.5,337.5,27,Moderate,,,
BCSEA,websites,Government,"Student names, Examination results/academic performance, School affiliation, Education record information.",4,4,3,4,1.5,288,23.04,Moderate,,,
BOB,websites,Financial institution,"Name of board members, Profile images, Professional role/position, Organizational affiliation (Bank of Bhutan), Short professional biography/background.",4,4,5,5,1.5,600,48,High,,,
Druk PNB,websites,Financial institution,"Name, Profile image, Job title/role, Organizational affiliation (Druk PNB Bank), Professional background/biography.",3,4,4,3,1.5,216,17.28,Low,,,
BNB,social media,Financial institution,Name,1,4,2,1,1,8,0.64,Low,,,
DK Bank,social media,Financial institution,Contact number (mentioned as winner of lucky draw in Facebook post).,3,4,4,3,1,144,11.52,Low,,,
BDB,websites,Financial institution,"Name, Profile image, Job title/primary role, Organizational affiliation, Educational background, Professional biography.",3,4,3,3,2,216,17.28,Low,,,
Loden Foundation,websites,Private Sector,"Name, email and phone number",2,4,5,4,1.5,240,19.2,Low,,,
MHSS,websites,Academic institution,"Name, email, contact number, image, experience",4,4,5,4,2,640,51.2,High,,,
RCSC,websites,Government,Name,1,4,2,1,1,8,0.64,Low,,,
RSEBL,websites,Government,"Name, image",2,4,3,2,1.2,57.6,4.608,Low,,,
BLL,websites,Private Sector,"name, image",2,4,3,2,1.2,57.6,4.608,Low,,,
Tbank,webistes,Financial institution,"name, image",2,4,3,2,1.2,57.6,4.608,Low,,,
ECB,Website,Government,"Name , CID",4,5,4,5,1.2,480,38.4,Moderate,,,
,,,,Exposure Scenario,Impact Score,,,,,,,,,
,,,,CID only,3,,,,,,,,,
,,,,CID + DOB,4,,,,,,,,,
,,,,CID + Contact,4,,,,,,,,,
,,,,CID + Financial,5,,,,,,,,,
,,,,CID + Multiple Linked Identifier,4-5,,,,,,,,,
,,,,Finalcial details,5,,,,,,,,,